t,angular_displacement,angular_velocity
0,2.17E-01,16.52
1.67E-02,0.489,17.73
3.33E-02,0.748,18.09
5.00E-02,0.996,16.35
6.67E-02,1.202,10.6
8.33E-02,1.288,7.246
1.00E-01,1.401,6.973
0.117,1.481,3.98
0.133,1.511,1.012
0.15,1.509,-2.469
0.167,1.442,-2.992
0.183,1.427,-5.569
0.2,1.288,-6.557
0.217,1.244,-3.518
0.233,1.19,-5.67
0.25,1.086,-8.574
0.267,0.945,-11.62
0.283,0.752,-14.96
0.3,0.515,-14.32
0.317,0.333,-13.55
0.333,8.22E-02,-12.09
0.35,-5.45E-02,-14.16
0.367,-3.77E-01,-14.13
0.383,-0.544,-10.3
0.4,-0.757,-9.66
0.417,-0.906,-8.657
0.433,-1.087,-7.594
0.45,-1.207,-2.945
0.467,-1.207,0
0.483,-1.207,2.242
0.5,-1.117,5.142
0.517,-0.995,5.911
0.533,-0.879,6.861
0.55,-0.721,8.426
0.567,-0.552,9.793
0.583,-0.356,10.32
0.6,-0.185,12.36
0.617,5.99E-02,13.39
0.633,2.33E-01,15.16
0.65,0.519,16.49
0.667,0.737,13.81
0.683,0.911,10.32
0.7,1.022,8.317
0.717,1.14,6.221
0.733,1.193,6.157
0.75,1.312,5.145
0.767,1.336,0.871
0.783,1.336,-1.206
0.8,1.302,-2.604
0.817,1.262,-2.933
0.833,1.218,-4.395
0.85,1.139,-7.559
0.867,1.007,-8.027
0.883,0.912,-7.99
0.9,0.785,-9.653
0.917,0.644,-13.67
0.933,0.372,-14.12
0.95,0.209,-10.95
0.967,5.99E-02,-12.11
0.983,-1.51E-01,-11.55
1,-0.298,-11.26
1.017,-0.522,-8.716
1.033,-0.617,-3.985
1.05,-0.666,-5.838
1.067,-0.844,-6.69
1.083,-0.944,1.326
1.1,-0.804,5.954
1.117,-0.711,5.007
1.133,-0.602,5.185
1.15,-0.51,6.905
1.167,-0.359,10.91
1.183,-0.136,11.8
1.2,4.35E-02,10.55
1.218,1.89E-01,10.35
1.235,0.347,12.11
1.252,0.568,13.17
1.268,0.748,12.26
1.285,0.911,9.191
1.302,1,7.056
1.318,1.107,6.308
1.335,1.174,3.904
1.352,1.216,2.664
1.37E+00,1.249,-7.21E-02
1.39E+00,1.212,-2.41E+00
1.402,1.182,-3.085
1.418,1.128,-4.218
1.435,1.065,-6.202
1.452,0.956,-7.139
1.468,0.866,-9.271
1.485,0.699,-10.1
1.502,0.583,-11.91
1.518,0.335,-12.65
1.535,0.189,-9.634
1.552,3.64E-02,-9.229
1.568,-6.81E-02,-10.85
1.585,-3.00E-01,-10.18
1.602,-0.432,-4.387
1.618,-0.441,-2.601
1.635,-0.51,-4.684
1.652,-0.629,-3.257
1.668,-0.644,1.8
